"run","metric","threshold_cy","overlap_samples","spikes","irq_spikes","clean_spikes","systick_spikes","tim2_spikes","max_irq_spike_cy","max_clean_spike_cy"
"1","tim2_irq_to_task_attribution","900","25","25","25","0","25","0","1235","0"
"1","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"1","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"1","mutex_lock_unlock_attribution","128","1","0","0","0","0","0","0","0"
"2","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"2","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"2","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"2","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"3","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"3","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"3","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"3","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"4","tim2_irq_to_task_attribution","900","88","115","88","27","88","0","1233","1194"
"4","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"4","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"4","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"5","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"5","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"5","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"5","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"6","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"6","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"6","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"6","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"7","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"7","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"7","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"7","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"8","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"8","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"8","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"8","mutex_lock_unlock_attribution","128","1","1","1","0","1","0","510","0"
"9","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"9","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"9","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"9","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"10","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"10","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"10","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"10","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
