"run","metric","threshold_cy","overlap_samples","spikes","irq_spikes","clean_spikes","systick_spikes","tim2_spikes","max_irq_spike_cy","max_clean_spike_cy"
"1","semaphore_give_to_taskb_wake_attribution","1000","10","9","9","0","9","0","1710","0"
"1","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"1","queue_wake_latency_attribution","900","97","124","97","27","97","0","1238","1185"
"1","queue_end_to_end_latency_attribution","1100","114","140","113","27","113","0","1493","1455"
"1","mutex_lock_unlock_attribution","128","2","2","2","0","2","0","508","0"
"2","semaphore_give_to_taskb_wake_attribution","1000","10","9","9","0","9","0","1309","0"
"2","tim2_irq_to_task_attribution","900","72","100","72","28","72","0","1241","1195"
"2","queue_wake_latency_attribution","900","23","23","23","0","23","0","1243","0"
"2","queue_end_to_end_latency_attribution","1100","40","39","39","0","39","0","1498","0"
"2","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"3","semaphore_give_to_taskb_wake_attribution","1000","11","11","11","0","11","0","1711","0"
"3","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"3","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"3","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"3","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"4","semaphore_give_to_taskb_wake_attribution","1000","10","9","9","0","9","0","1307","0"
"4","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"4","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"4","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"4","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"5","semaphore_give_to_taskb_wake_attribution","1000","9","9","9","0","9","0","1307","0"
"5","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"5","queue_wake_latency_attribution","900","96","123","96","27","96","0","1242","1192"
"5","queue_end_to_end_latency_attribution","1100","114","139","112","27","112","0","1497","1462"
"5","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"6","semaphore_give_to_taskb_wake_attribution","1000","10","10","9","1","9","0","1308","1306"
"6","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"6","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"6","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"6","mutex_lock_unlock_attribution","128","1","1","1","0","1","0","509","0"
"7","semaphore_give_to_taskb_wake_attribution","1000","9","8","8","0","8","0","1307","0"
"7","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"7","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"7","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"7","mutex_lock_unlock_attribution","128","0","0","0","0","0","0","0","0"
"8","semaphore_give_to_taskb_wake_attribution","1000","10","9","9","0","9","0","1307","0"
"8","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"8","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"8","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"8","mutex_lock_unlock_attribution","128","1","0","0","0","0","0","0","0"
"9","semaphore_give_to_taskb_wake_attribution","1000","9","7","7","0","7","0","1308","0"
"9","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"9","queue_wake_latency_attribution","900","0","0","0","0","0","0","0","0"
"9","queue_end_to_end_latency_attribution","1100","0","0","0","0","0","0","0","0"
"9","mutex_lock_unlock_attribution","128","1","1","1","0","1","0","509","0"
"10","semaphore_give_to_taskb_wake_attribution","1000","8","7","7","0","7","0","1307","0"
"10","tim2_irq_to_task_attribution","900","0","0","0","0","0","0","0","0"
"10","queue_wake_latency_attribution","900","97","123","97","26","97","0","1243","1182"
"10","queue_end_to_end_latency_attribution","1100","114","139","113","26","113","0","1498","1452"
"10","mutex_lock_unlock_attribution","128","1","1","1","0","1","0","508","0"
